id;mlu;style;tempo;performer;feel;barsspan;startbar;startbeat;endbar;endbeat;notes;length;divisions;subrhythm
2962;line;-;UP;Michael Brecker;-;-;-;-;-;-;47;21;4,2,2,3,2,2,1,1,2,2,3,2,1,4,4,3,2,3,3,4,4;1011,01,11,111,11,11,1,1,11,11,111,01,1,1001,1011,111,11,111,011,1111,1111
2963;lick;-;UP;Joe Lovano;-;-;-;-;-;-;5;2;2,3;11,111
2964;lick;-;MEDIUM;Eric Dolphy;-;-;-;-;-;-;8;2;6,4;011011,1111
2965;lick;-;MEDIUM UP;Cannonball Adderley;-;-;-;-;-;-;11;7;4,3,1,2,2,1,4;0001,110,1,11,01,1,1110
2966;lick;-;UP;John Abercrombie;-;-;-;-;-;-;4;3;1,4,1;1,0110,1
2967;lick;-;UP;John Coltrane;-;-;-;-;-;-;15;7;2,2,2,6,2,2,4;11,11,11,010001,11,11,1101
2968;lick;-;UP;Steve Coleman;-;-;-;-;-;-;50;29;2,2,1,1,2,2,2,2,3,2,2,2,1,1,4,2,4,4,2,2,1,2,1,1,1,2,2,2,2;11,11,1,1,11,11,11,11,111,11,11,11,1,1,1011,11,1101,0001,11,11,1,11,1,1,1,11,01,01,11
2969;line;-;MEDIUM UP;Charlie Parker;-;-;-;-;-;-;6;3;4,2,4;1100,11,1001
2970;lick;-;UP;Bob Berg;-;-;-;-;-;-;5;2;2,3;11,111
2971;lick;-;MEDIUM;Zoot Sims;-;-;-;-;-;-;13;8;6,1,2,2,6,1,4,1;001001,1,11,11,010001,1,1001,1
2972;line;-;MEDIUM;Joshua Redman;-;-;-;-;-;-;26;6;6,8,6,4,6,4;011101,01010111,101111,1111,011101,1111
2973;lick;-;UP;Herbie Hancock;-;-;-;-;-;-;65;49;2,1,2,2,1,2,1,1,3,1,1,3,2,1,2,2,2,2,2,2,2,2,3,2,1,4,2,2,1,4,4,2,1,2,2,1,2,2,3,2,1,2,2,1,2,1,2,2,1;01,1,01,11,1,11,1,1,011,1,1,011,11,1,01,01,11,11,11,01,01,11,011,01,1,1101,01,01,1,0001,0001,01,1,01,01,1,01,01,011,01,1,11,01,1,01,1,11,11,1
2974;line;-;MEDIUM UP;Wayne Shorter;-;-;-;-;-;-;8;5;4,2,1,2,1;0110,11,1,11,1
2975;line;-;UP;Joe Henderson;-;-;-;-;-;-;17;7;2,2,4,4,2,2,2;11,11,1111,1011,11,11,11
2976;line;-;MEDIUM;Sonny Rollins;-;-;-;-;-;-;24;7;4,4,6,3,6,3,3;0111,1111,100111,111,101011,111,111
2977;lick;-;UP;John Coltrane;-;-;-;-;-;-;5;3;1,2,3;1,11,110
2978;line;-;UP;Michael Brecker;-;-;-;-;-;-;70;33;3,2,1,2,2,2,2,3,3,4,3,3,2,2,2,2,2,2,2,2,2,4,4,1,1,3,2,2,4,1,2,2,4;011,11,1,11,11,11,01,111,011,1011,111,011,11,11,11,11,11,11,11,11,11,0001,1111,1,1,111,11,11,1111,1,11,11,1111
2979;lick;-;UP;Miles Davis;-;-;-;-;-;-;11;8;1,1,2,2,2,2,2,1;1,1,11,11,01,01,11,1
2980;line;-;UP;John Coltrane;-;-;-;-;-;-;63;36;4,2,4,2,3,2,2,1,2,2,2,3,2,3,2,3,3,1,2,3,2,2,2,2,2,2,2,1,2,2,1,4,2,2,3,2;1100,11,0011,01,111,11,11,1,11,01,11,110,11,110,11,011,111,1,01,111,11,11,01,11,01,11,11,1,11,11,1,0001,11,01,110,01
2981;line;-;MEDIUM UP;Wayne Shorter;-;-;-;-;-;-;15;5;6,2,2,4,6;011101,11,11,0111,101011
2982;lick;-;MEDIUM;Milt Jackson;-;-;-;-;-;-;19;9;2,2,4,2,3,4,3,2,3;01,11,1101,11,111,0001,111,01,111
2983;lick;-;UP;John Coltrane;-;-;-;-;-;-;11;5;3,3,4,4,2;110,011,1101,1001,11
2984;lick;-;MEDIUM UP;Art Pepper;-;-;-;-;-;-;4;3;2,1,1;11,1,1
2985;lick;-;UP;Cannonball Adderley;-;-;-;-;-;-;21;13;4,2,2,2,2,2,2,1,3,2,6,2,2;0001,11,11,01,11,01,01,1,111,01,010111,01,01
2986;line;-;UP;Woody Shaw;-;-;-;-;-;-;41;25;1,4,2,2,1,4,3,2,2,2,2,1,2,3,3,2,2,2,2,2,2,4,2,1,2;1,1001,11,01,1,0001,111,11,11,11,01,1,11,011,011,11,01,11,11,11,01,0001,11,1,11
2987;lick;-;MEDIUM SLOW;Michael Brecker;-;-;-;-;-;-;4;3;2,4,1;01,0011,1
2988;line;-;UP;Bob Berg;-;-;-;-;-;-;21;10;2,2,2,4,2,2,2,2,3,2;11,11,11,1101,11,11,11,01,111,11
2989;lick;-;MEDIUM;Steve Lacy;-;-;-;-;-;-;11;8;7,2,1,1,2,2,2,2;0010001,01,1,1,11,01,01,11
2990;lick;-;MEDIUM;Dexter Gordon;-;-;-;-;-;-;4;3;1,1,2;1,1,11
2991;line;-;UP;John Coltrane;-;-;-;-;-;-;6;4;1,2,3,2;1,11,011,01
2992;lick;-;MEDIUM UP;Don Ellis;-;-;-;-;-;-;18;9;4,2,4,2,2,4,2,2,3;0011,11,1001,11,01,0111,11,11,110
2993;line;-;UP;Lee Konitz;-;-;-;-;-;-;23;14;2,2,2,1,2,2,2,1,1,1,4,2,4,2;11,11,11,1,11,11,11,1,1,1,0011,01,0110,11
2994;line;-;UP;Bob Berg;-;-;-;-;-;-;33;17;2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2;11,11,11,11,11,01,11,11,11,11,11,11,11,11,11,11,11
2995;lick;-;UP;Pat Metheny;-;-;-;-;-;-;17;11;2,2,2,1,4,4,3,2,2,2,2;11,01,11,1,1001,1001,011,11,01,01,01
2996;lick;-;UP;David Liebman;-;-;-;-;-;-;13;7;4,4,2,2,2,2,4;0001,1001,11,01,11,11,1011
2997;line;-;UP;Wynton Marsalis;-;-;-;-;-;-;85;47;3,4,1,1,2,1,1,1,4,2,2,1,4,2,3,1,4,2,2,3,2,2,2,2,2,2,2,2,4,1,4,2,2,4,4,2,2,2,2,2,2,2,2,4,2,2,1;111,0001,1,1,11,1,1,1,0001,11,01,1,1101,11,111,1,1001,11,01,111,11,01,11,11,01,01,11,11,0110,1,1110,11,01,1011,1011,01,11,11,11,11,11,11,11,1111,11,11,1
2998;lick;-;MEDIUM;Sonny Rollins;-;-;-;-;-;-;8;3;2,4,4;11,1001,1111
2999;line;-;UP;Wynton Marsalis;-;-;-;-;-;-;48;33;2,4,2,1,2,2,2,3,2,1,1,1,1,1,2,2,1,1,1,2,1,1,1,2,1,2,2,2,2,3,2,2,4;01,0111,11,1,01,11,11,011,11,1,1,1,1,1,01,01,1,1,1,11,1,1,1,11,1,11,01,01,11,011,11,11,0110
3000;lick;-;UP;Phil Woods;-;-;-;-;-;-;23;12;3,4,1,4,2,3,2,2,2,2,2,2;011,1011,1,1011,01,011,11,11,11,11,01,11
3001;line;-;UP;Chet Baker;-;-;-;-;-;-;58;30;4,2,2,2,2,4,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2;1011,11,11,11,11,1011,11,11,11,1,1,1,11,11,11,11,11,11,11,11,11,11,11,11,11,1,11,11,11,11
3002;line;-;MEDIUM UP;John Coltrane;-;-;-;-;-;-;62;21;4,3,4,4,4,6,4,6,4,4,4,4,4,4,4,4,3,1,4,6,4;0111,111,0001,0111,1111,001011,1111,111111,0001,1100,0011,1101,1100,1111,1111,1110,111,1,0111,011011,0111
3003;lick;-;MEDIUM UP;Charlie Parker;-;-;-;-;-;-;16;6;2,4,6,6,2,2;11,1011,010001,110111,11,11
3004;line;-;MEDIUM UP;Cannonball Adderley;-;-;-;-;-;-;36;15;6,2,1,1,2,2,2,4,3,4,6,4,1,6,2;111111,11,1,1,01,11,01,0001,011,1111,100011,1111,1,111101,11
3005;lick;-;MEDIUM;Wayne Shorter;-;-;-;-;-;-;12;7;2,2,2,1,2,5,2;11,01,01,1,01,11111,01
3006;line;-;MEDIUM;Cannonball Adderley;-;-;-;-;-;-;11;6;3,1,3,1,1,3;111,1,111,1,1,110
3007;lick;-;UP;John Coltrane;-;-;-;-;-;-;3;2;4,1;1001,1
3008;line;-;UP;Eric Dolphy;-;-;-;-;-;-;26;10;4,4,2,4,1,4,2,4,2,4;0111,1101,11,1101,1,1011,11,0111,11,1111
3009;line;-;UP;John Coltrane;-;-;-;-;-;-;58;28;4,2,2,2,2,3,2,3,2,2,2,2,2,2,1,4,2,2,1,3,3,4,2,2,2,6,2,2;1100,11,11,11,11,111,11,111,11,01,11,11,11,11,1,1011,11,01,1,011,011,1011,11,11,11,001111,11,11
3010;line;-;MEDIUM;Milt Jackson;-;-;-;-;-;-;18;9;2,3,3,4,4,2,2,1,4;11,111,011,0011,1100,11,01,1,0111
3011;line;-;MEDIUM;John Coltrane;-;-;-;-;-;-;37;9;4,2,5,4,8,7,8,5,3;1111,01,11111,1100,01101011,1111111,10101011,11111,111
3012;lick;-;MEDIUM;Charlie Parker;-;-;-;-;-;-;4;2;4,8;0110,01000001
3013;lick;-;MEDIUM UP;Woody Shaw;-;-;-;-;-;-;3;3;2,2,1;01,01,1
3014;line;-;UP;Steve Coleman;-;-;-;-;-;-;19;8;2,4,4,4,3,2,2,4;11,1001,1110,1111,111,11,11,0001
3015;lick;-;MEDIUM UP;Cannonball Adderley;-;-;-;-;-;-;9;4;2,4,2,4;11,1001,11,1101
3016;lick;-;MEDIUM SLOW;Joe Lovano;-;-;-;-;-;-;4;2;4,2;0111,01
3017;line;-;UP;Stan Getz;-;-;-;-;-;-;27;13;3,4,3,2,2,2,2,2,2,2,2,3,4;111,1001,110,11,11,01,11,11,11,11,11,111,1001
3018;lick;-;MEDIUM;Dexter Gordon;-;-;-;-;-;-;10;4;8,3,3,2;01010101,011,011,11
3019;line;-;MEDIUM UP;Miles Davis;-;-;-;-;-;-;8;4;2,2,4,2;11,01,0111,11
3020;line;-;MEDIUM;Wayne Shorter;-;-;-;-;-;-;11;5;1,4,1,4,2;1,0111,1,1111,11
3021;lick;-;UP;John Coltrane;-;-;-;-;-;-;5;4;2,1,2,1;11,1,01,1
3022;line;-;UP;Wynton Marsalis;-;-;-;-;-;-;12;6;2,1,1,5,3,2;01,1,1,01111,111,11
3023;line;-;UP;Stan Getz;-;-;-;-;-;-;35;19;2,2,2,2,2,2,2,2,3,2,2,2,2,2,4,2,2,2,2;11,11,11,11,01,11,11,01,011,11,11,11,11,11,1001,11,11,01,11
3024;lick;-;MEDIUM;Phil Woods;-;-;-;-;-;-;19;12;2,1,1,4,1,2,4,1,3,1,1,3;11,1,1,1101,1,01,1001,1,111,1,1,110
3025;lick;-;MEDIUM;Bob Berg;-;-;-;-;-;-;14;6;1,2,3,3,4,5;1,11,011,111,1001,01111
3026;lick;-;UP;Joe Lovano;-;-;-;-;-;-;12;10;2,1,1,1,2,2,1,1,1,4;01,1,1,1,11,01,1,1,1,1001
3027;lick;-;UP;J.J. Johnson;-;-;-;-;-;-;7;6;1,1,2,1,2,2;1,1,01,1,11,01
3028;line;-;MEDIUM;Pepper Adams;-;-;-;-;-;-;11;4;6,4,4,4;010111,0011,0111,0011
3029;line;-;UP;Warne Marsh;-;-;-;-;-;-;29;16;2,4,3,1,3,2,2,2,2,2,2,2,2,2,2,2;11,0001,111,1,011,01,11,11,11,11,11,01,11,11,11,11
3030;line;-;MEDIUM;Steve Turre;-;-;-;-;-;-;40;15;1,4,3,4,3,4,4,6,3,1,8,6,4,6,2;1,0111,111,1111,011,0110,1111,010001,111,1,00101001,100101,1111,010101,11
3031;line;-;MEDIUM SLOW;Steve Coleman;-;-;-;-;-;-;26;8;4,10,4,4,4,4,3,4;1111,1001010011,1110,0111,0001,1110,111,1111
3032;lick;-;UP;David Liebman;-;-;-;-;-;-;13;8;2,2,2,2,2,2,2,2;01,11,01,11,11,11,01,11
3033;lick;-;UP;Steve Coleman;-;-;-;-;-;-;10;8;2,2,1,1,1,1,4,2;01,11,1,1,1,1,0001,11
3034;lick;-;MEDIUM UP;Eric Dolphy;-;-;-;-;-;-;20;11;1,4,6,1,4,4,1,1,2,1,1;1,1001,101111,1,1011,1101,1,1,01,1,1
3035;lick;-;UP;Michael Brecker;-;-;-;-;-;-;11;8;2,2,4,1,2,2,2,2;11,01,1001,1,01,01,01,11
3036;lick;-;MEDIUM;Freddie Hubbard;-;-;-;-;-;-;11;7;2,2,2,2,4,4,1;11,01,11,11,0001,0011,1
3037;lick;-;MEDIUM UP;David Liebman;-;-;-;-;-;-;6;2;6,2;101011,11
3038;lick;-;MEDIUM UP;Don Ellis;-;-;-;-;-;-;14;8;2,4,4,2,2,2,2,3;01,1011,0011,11,01,01,11,110
3039;lick;-;UP;Stan Getz;-;-;-;-;-;-;6;5;1,2,2,2,2;1,01,11,01,01
3040;line;-;UP;Chris Potter;-;-;-;-;-;-;32;18;2,2,2,2,2,4,2,2,2,2,3,4,2,2,2,2,3,2;11,01,11,11,11,0001,11,11,11,11,111,0001,01,11,11,11,011,01
3041;line;-;MEDIUM;Pepper Adams;-;-;-;-;-;-;11;3;4,5,5;0011,11111,11101
3042;lick;-;UP;Zoot Sims;-;-;-;-;-;-;10;7;1,2,2,2,1,2,1;1,11,11,01,1,11,1
3043;line;-;MEDIUM UP;Cannonball Adderley;-;-;-;-;-;-;13;7;4,2,2,2,2,1,2;1001,11,11,11,11,1,11
3044;lick;-;UP;Zoot Sims;-;-;-;-;-;-;9;7;2,2,3,2,1,2,1;11,01,110,01,1,01,1
3045;line;-;UP;Michael Brecker;-;-;-;-;-;-;77;38;2,2,2,2,2,4,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,5,3,2,2,2,2,2,4,6,4,2,2;11,11,11,11,01,0111,01,11,11,01,110,11,11,11,11,11,11,11,11,11,11,11,11,01,01,1,10111,011,11,01,11,11,11,0011,111011,1111,11,11
3046;lick;-;MEDIUM;Pat Metheny;-;-;-;-;-;-;18;8;1,2,3,1,6,4,4,4;1,11,110,1,011101,0111,1100,0111
3047;line;-;UP;Art Pepper;-;-;-;-;-;-;20;10;2,2,2,2,2,4,4,2,4,2;11,01,11,01,11,0111,0111,11,0011,11
3048;lick;-;UP;John Coltrane;-;-;-;-;-;-;22;17;4,1,2,1,1,2,1,2,2,1,2,1,2,2,4,2,2;0001,1,11,1,1,11,1,11,01,1,01,1,11,01,0001,01,11
3049;lick;-;UP;Miles Davis;-;-;-;-;-;-;9;6;2,1,1,1,2,2;11,1,1,1,11,11
3050;line;-;UP;Dexter Gordon;-;-;-;-;-;-;11;6;4,4,2,2,1,2;0111,0001,11,11,1,11
3051;lick;-;MEDIUM;Woody Shaw;-;-;-;-;-;-;21;10;6,4,2,2,2,2,1,1,4,6;000011,0001,11,11,11,01,1,1,0111,111111
3052;lick;-;UP;Charlie Parker;-;-;-;-;-;-;6;4;8,2,3,2;00000011,01,110,01
3053;line;-;UP;Bob Berg;-;-;-;-;-;-;12;6;2,2,4,3,2,2;11,11,1011,110,01,11
3054;lick;-;UP;John Coltrane;-;-;-;-;-;-;1;1;2;01
3055;line;-;MEDIUM;Charlie Parker;-;-;-;-;-;-;8;4;2,2,2,4;11,11,11,0011
3056;lick;-;MEDIUM;Joshua Redman;-;-;-;-;-;-;13;7;2,1,2,1,3,2,2;11,1,11,1,111,11,11
3057;lick;-;MEDIUM;Paul Desmond;-;-;-;-;-;-;29;11;4,3,1,6,2,4,1,4,4,4,6;0001,111,1,010111,11,1111,1,0110,1111,0111,111100
3058;line;-;UP;Joe Lovano;-;-;-;-;-;-;31;14;4,1,4,3,2,2,2,2,2,2,4,2,3,3;1111,1,1111,011,11,11,11,11,11,01,1101,11,011,011
3059;lick;-;UP;John Coltrane;-;-;-;-;-;-;25;13;4,4,2,3,2,4,1,3,3,5,2,1,2;1011,0110,01,111,01,1101,1,111,011,00011,01,1,11
3060;lick;-;MEDIUM UP;Wayne Shorter;-;-;-;-;-;-;20;12;3,3,2,1,2,1,2,4,1,1,2,1;111,111,11,1,11,1,01,1100,1,1,11,1
3061;lick;-;UP;Pepper Adams;-;-;-;-;-;-;7;4;2,2,4,2;01,11,1101,01
3062;line;-;UP;Wayne Shorter;-;-;-;-;-;-;13;7;2,2,4,2,2,2,2;11,11,1001,01,11,11,11
3063;line;-;UP;Eric Dolphy;-;-;-;-;-;-;59;26;2,2,4,2,1,2,2,2,2,2,2,4,2,4,4,4,4,3,4,3,3,2,4,4,2,1;11,11,0111,11,1,11,11,11,01,11,01,1101,11,0111,0011,0011,1011,011,1011,111,111,11,1111,1111,11,1
3064;line;-;UP;Bob Berg;-;-;-;-;-;-;12;6;2,2,2,2,2,2;11,11,11,11,11,11
3065;lick;-;UP;Michael Brecker;-;-;-;-;-;-;9;6;1,4,2,2,2,4;1,0011,01,01,11,0011
3066;lick;-;MEDIUM UP;Joe Henderson;-;-;-;-;-;-;5;3;2,4,1;01,1101,1
3067;lick;-;MEDIUM UP;Chet Baker;-;-;-;-;-;-;2;1;2;11
3068;lick;-;UP;Paul Desmond;-;-;-;-;-;-;18;14;1,1,4,4,2,1,1,1,1,1,2,2,2,2;1,1,0001,1011,01,1,1,1,1,1,01,01,11,11
3069;line;-;MEDIUM SLOW;Steve Coleman;-;-;-;-;-;-;51;16;2,4,8,2,4,4,4,4,4,4,8,6,4,4,4,4;11,0111,10110011,11,1110,1111,0011,0001,1111,1111,10110011,001001,1110,1111,0111,1111
3070;lick;-;MEDIUM UP;Kenny Dorham;-;-;-;-;-;-;15;8;2,2,2,2,3,1,4,2;11,11,11,11,110,1,1001,11
3071;lick;-;MEDIUM UP;Kenny Dorham;-;-;-;-;-;-;7;4;2,2,4,1;11,11,0110,1
3072;line;-;UP;John Coltrane;-;-;-;-;-;-;51;24;3,2,4,3,4,2,2,1,3,3,4,4,1,4,1,4,3,3,2,4,2,2,2,2;011,01,1011,011,0011,11,11,1,011,011,1011,1011,1,1101,1,1101,111,111,11,1011,01,11,11,11
3073;lick;-;UP;Woody Shaw;-;-;-;-;-;-;6;3;3,4,3;011,0011,011
3074;lick;-;UP;Art Pepper;-;-;-;-;-;-;5;3;4,2,1;1001,11,1
3075;lick;-;MEDIUM SLOW;Steve Coleman;-;-;-;-;-;-;6;3;4,1,2;0111,1,11
3076;line;-;MEDIUM UP;Freddie Hubbard;-;-;-;-;-;-;8;4;2,2,2,2;11,11,11,11
3077;line;-;UP;John Coltrane;-;-;-;-;-;-;7;4;2,1,1,4;11,1,1,0111
3078;lick;-;MEDIUM;J.J. Johnson;-;-;-;-;-;-;6;3;2,3,2;11,111,01
3079;lick;-;MEDIUM SLOW;Joe Lovano;-;-;-;-;-;-;3;2;2,2;11,01
3080;lick;-;MEDIUM SLOW;Steve Lacy;-;-;-;-;-;-;4;3;2,1,3;01,1,011
3081;lick;-;MEDIUM UP;Don Ellis;-;-;-;-;-;-;4;2;4,2;1001,11
3082;lick;-;UP;Pat Metheny;-;-;-;-;-;-;27;16;3,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2;111,11,11,01,01,11,11,11,1,11,01,11,1,1,11,11
3083;line;-;UP;Lee Konitz;-;-;-;-;-;-;25;14;4,3,2,2,2,2,1,2,2,2,2,4,2,2;0001,011,11,11,11,01,1,11,11,11,01,0111,11,11
3084;lick;-;UP;Dizzy Gillespie;-;-;-;-;-;-;10;5;3,2,3,4,2;011,11,011,1001,11
3085;lick;-;MEDIUM SLOW;Michael Brecker;-;-;-;-;-;-;13;5;2,6,8,2,4;01,000111,11010011,01,0111
3086;line;-;UP;Michael Brecker;-;-;-;-;-;-;46;21;2,2,1,1,2,2,4,1,4,2,4,3,2,2,2,2,2,6,6,3,4;11,11,1,1,11,01,0001,1,1011,11,1001,111,11,11,11,11,11,111011,011011,111,0111
3087;lick;-;MEDIUM SLOW;Michael Brecker;-;-;-;-;-;-;8;3;4,4,6;0110,0110,001111
3088;lick;-;MEDIUM UP;Miles Davis;-;-;-;-;-;-;22;16;2,2,6,2,2,1,4,2,2,1,4,1,1,2,2,1;11,01,010001,01,11,1,0001,11,01,1,0001,1,1,11,11,1
3089;lick;-;MEDIUM UP;Art Pepper;-;-;-;-;-;-;9;4;1,2,4,2;1,11,1111,11
3090;lick;-;MEDIUM UP;Bob Berg;-;-;-;-;-;-;5;3;1,2,4;1,11,0110
3091;lick;-;MEDIUM;Freddie Hubbard;-;-;-;-;-;-;20;8;3,4,6,8,4,4,3,4;111,1111,010001,00000011,0001,0111,111,0011
3092;line;-;MEDIUM;Sonny Rollins;-;-;-;-;-;-;26;8;4,2,6,4,4,4,4,6;1111,11,010111,1111,1111,1100,0011,011101
3093;lick;-;MEDIUM SLOW;Steve Lacy;-;-;-;-;-;-;10;4;4,4,5,3;0111,0011,01011,011
3094;lick;-;MEDIUM SLOW;Joe Lovano;-;-;-;-;-;-;9;5;1,10,2,3,3;1,0000011001,01,011,011
3095;line;-;MEDIUM UP;Milt Jackson;-;-;-;-;-;-;62;30;1,4,2,2,2,2,2,1,4,2,3,4,2,2,3,2,2,2,2,3,2,2,2,1,4,6,2,2,2,2;1,0001,11,11,11,11,11,1,0011,11,111,0111,11,11,111,11,11,11,11,111,11,11,11,1,1110,010011,11,11,11,11
3096;lick;-;MEDIUM UP;Paul Desmond;-;-;-;-;-;-;6;5;1,2,4,1,2;1,01,0011,1,01
3097;lick;-;UP;David Liebman;-;-;-;-;-;-;3;3;2,1,1;01,1,1
3098;line;-;MEDIUM UP;Joe Henderson;-;-;-;-;-;-;31;11;3,4,6,3,3,4,4,4,3,2,2;011,1111,001111,110,110,1111,1110,1110,111,11,11
3099;lick;-;MEDIUM;Pepper Adams;-;-;-;-;-;-;12;4;4,3,6,4;1111,110,101101,1001
3100;lick;-;UP;Joshua Redman;-;-;-;-;-;-;12;8;1,1,2,1,6,2,2,1;1,1,11,1,010001,11,11,1
3101;lick;-;MEDIUM UP;John Coltrane;-;-;-;-;-;-;11;8;4,6,1,4,6,2,2,1;0001,100101,1,0001,000011,01,01,1
3102;lick;-;UP;Steve Turre;-;-;-;-;-;-;4;3;1,1,2;1,1,11
3103;lick;-;MEDIUM UP;Wayne Shorter;-;-;-;-;-;-;17;12;2,2,2,4,2,2,1,2,6,4,1,1;11,01,11,1100,01,01,1,01,010101,0001,1,1
3104;lick;-;UP;Charlie Parker;-;-;-;-;-;-;7;4;2,2,4,2;11,11,0001,11
3105;line;-;MEDIUM SLOW;Pepper Adams;-;-;-;-;-;-;17;6;4,3,1,4,4,8;1111,111,1,1001,1111,10010001
3106;line;-;MEDIUM;Wayne Shorter;-;-;-;-;-;-;13;5;3,2,1,4,7;111,11,1,0011,1010111
3107;line;-;UP;Dexter Gordon;-;-;-;-;-;-;31;15;2,1,2,2,2,3,4,6,6,4,1,2,2,2,2;11,1,11,11,11,111,1011,010001,010001,0111,1,11,11,11,11
3108;line;-;UP;Chris Potter;-;-;-;-;-;-;23;13;1,1,2,2,2,2,4,1,1,3,2,2,2;1,1,11,11,11,11,0011,1,1,111,11,11,11
3109;line;-;MEDIUM UP;Cannonball Adderley;-;-;-;-;-;-;54;18;2,2,2,2,6,6,2,6,2,6,4,3,6,5,6,4,2,6;11,11,11,11,111110,111100,11,101011,11,011011,1111,011,010001,10111,101111,0011,11,010111
3110;line;-;UP;Paul Desmond;-;-;-;-;-;-;1;1;1;1
3111;line;-;MEDIUM UP;Wayne Shorter;-;-;-;-;-;-;33;13;1,2,2,2,1,2,2,4,4,5,6,6,7;1,11,11,11,1,11,11,1110,1100,11111,011111,001001,0010111
3112;lick;-;UP;Dexter Gordon;-;-;-;-;-;-;6;4;3,1,1,2;011,1,1,11
3113;lick;-;MEDIUM UP;Woody Shaw;-;-;-;-;-;-;13;7;2,1,2,4,2,4,4;01,1,01,1001,11,1001,1111
3114;line;-;UP;John Coltrane;-;-;-;-;-;-;2;1;2;11
3115;lick;-;UP;Steve Coleman;-;-;-;-;-;-;26;16;1,1,1,2,2,2,4,2,2,4,1,2,2,2,4,2;1,1,1,11,11,11,1111,11,01,0001,1,01,11,11,0001,11
3116;lick;-;MEDIUM UP;Kenny Dorham;-;-;-;-;-;-;19;10;2,2,2,2,2,2,2,5,2,2;11,11,01,01,11,11,01,01111,11,11
3117;line;-;UP;Steve Lacy;-;-;-;-;-;-;49;29;3,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,1,1,1,2,2,2,2,4,2,4;111,11,11,0110,11,11,11,01,11,01,11,11,11,11,11,11,1,1,111,1,1,1,01,11,11,01,0001,11,0001
3118;line;-;UP;Don Ellis;-;-;-;-;-;-;15;9;2,2,2,2,1,2,2,2,2;11,11,11,11,1,11,11,01,01
3119;lick;-;UP;John Coltrane;-;-;-;-;-;-;4;3;2,1,2;01,1,11
3120;line;-;UP;Art Pepper;-;-;-;-;-;-;18;11;4,2,2,1,2,2,2,2,4,2,4;0001,11,01,1,11,11,11,01,0001,01,1111
3121;lick;-;MEDIUM;J.J. Johnson;-;-;-;-;-;-;8;5;1,2,2,2,2;1,11,11,11,01
3122;lick;-;MEDIUM;Paul Desmond;-;-;-;-;-;-;12;7;1,1,4,5,1,4,1;1,1,0110,01111,1,0110,1
3123;line;-;MEDIUM;Bob Berg;-;-;-;-;-;-;19;8;5,3,1,2,4,4,4,4;10111,011,1,01,0111,0111,1101,1001
3124;lick;-;UP;John Coltrane;-;-;-;-;-;-;14;8;2,2,2,2,2,2,2,2;11,11,01,11,11,01,11,11
3125;lick;-;UP;Branford Marsalis;-;-;-;-;-;-;31;22;2,1,3,3,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2;11,1,111,111,1,1,1,1,01,01,11,01,01,01,01,01,1,01,01,11,11,11
3126;lick;-;MEDIUM UP;Don Ellis;-;-;-;-;-;-;31;18;2,4,3,1,4,8,4,4,2,2,1,1,2,2,2,1,4,2;11,1001,110,1,1001,10001111,1001,0001,01,01,1,1,11,11,01,1,1101,01
3127;lick;-;UP;John Coltrane;-;-;-;-;-;-;8;4;2,2,1,3;11,11,1,111
3128;lick;-;MEDIUM UP;John Coltrane;-;-;-;-;-;-;17;10;1,1,1,6,2,2,2,8,4,6;1,1,1,000011,01,01,01,11011011,0110,000001
3129;line;-;UP;Pepper Adams;-;-;-;-;-;-;40;21;2,2,2,4,2,2,3,2,3,2,2,2,2,2,2,3,2,2,2,2,2;11,11,11,1001,11,11,111,01,110,01,11,01,11,11,11,111,11,11,11,11,01
3130;line;-;MEDIUM UP;Paul Desmond;-;-;-;-;-;-;13;6;1,2,2,2,3,4;1,11,11,11,011,1111
3131;line;-;UP;Bob Berg;-;-;-;-;-;-;51;26;2,4,4,4,3,2,4,3,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2;01,1011,1101,0111,011,11,1001,011,11,11,01,11,11,01,11,0011,11,11,11,11,11,11,11,11,01,11
3132;lick;-;MEDIUM;Dexter Gordon;-;-;-;-;-;-;10;4;3,3,6,6;011,011,011011,000101
3133;lick;-;UP;John Coltrane;-;-;-;-;-;-;34;17;2,4,2,1,2,1,4,1,3,2,2,2,3,3,2,2,3;01,1011,11,1,11,1,1101,1,111,11,01,11,111,111,11,11,011
3134;lick;-;UP;Don Ellis;-;-;-;-;-;-;8;5;1,2,2,2,2;1,01,11,11,11
3135;line;-;MEDIUM UP;Cannonball Adderley;-;-;-;-;-;-;37;16;1,2,2,4,2,6,2,2,2,2,6,3,4,4,4,4;1,11,01,1001,11,011011,11,11,11,11,101011,111,1101,0111,0111,0001
3136;lick;-;MEDIUM;Pepper Adams;-;-;-;-;-;-;14;4;3,4,4,4;110,1111,1111,1111
